City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,2.85,83,57,2.56,GS,1709870407
1,waitangi,-43.9535,-176.5597,16.01,72,23,1.34,NZ,1709870408
2,west island,-12.1568,96.8225,26.99,94,40,5.14,CC,1709870411
3,port hedland,-20.3167,118.5667,35.03,49,75,1.54,AU,1709870413
4,simpang,-1.2667,104.0833,24.83,92,100,1.86,ID,1709870414
5,bredasdorp,-34.5322,20.0403,19.26,78,12,2.29,ZA,1709870415
6,puerto ayora,-0.7393,-90.3518,25.86,95,18,1.97,EC,1709870416
7,olonkinbyen,70.9221,-8.7187,0.85,89,88,6.41,SJ,1709870416
8,adamstown,-25.066,-130.1015,23.86,83,100,5.76,PN,1709870417
9,badger,64.8,-147.5333,-5.86,75,100,0.0,US,1709870417
10,bethel,41.3712,-73.414,7.51,79,40,3.09,US,1709870352
11,punta arenas,-53.15,-70.9167,10.06,81,75,6.69,CL,1709870418
12,port-aux-francais,-49.35,70.2167,5.33,79,99,12.75,TF,1709870418
13,vavoua,7.3819,-6.4778,24.7,84,100,2.05,CI,1709870418
14,gakem,6.7658,8.9881,24.76,82,100,3.56,NG,1709870419
15,hilo,19.7297,-155.09,20.69,98,100,4.12,US,1709870134
16,port mathurin,-19.6833,63.4167,26.4,80,11,8.38,MU,1709870420
17,arraial do cabo,-22.9661,-42.0278,24.98,94,100,2.57,BR,1709870420
18,ust-nera,64.5667,143.2,-17.45,88,100,1.16,RU,1709870421
19,wellington,-41.2866,174.7756,18.88,57,47,8.23,NZ,1709870157
20,bamboo flat,11.7,92.7167,29.05,61,100,2.06,IN,1709870421
21,albany,42.6001,-73.9662,4.19,82,44,1.34,US,1709870139
22,juan griego,11.0817,-63.9655,27.07,90,70,6.92,VE,1709870422
23,cockburn town,21.4612,-71.1419,25.35,83,7,6.12,TC,1709870423
24,ketchikan,55.3422,-131.6461,5.99,97,100,9.32,US,1709870423
25,crane,31.3974,-102.3501,19.05,16,55,6.0,US,1709870424
26,margaret river,-33.95,115.0667,20.52,73,55,7.47,AU,1709870424
27,hawaiian paradise park,19.5933,-154.9731,20.57,97,100,4.12,US,1709870425
28,georgetown,5.4112,100.3354,29.99,74,20,1.54,MY,1709870301
29,happy valley-goose bay,53.3168,-60.3315,-12.83,47,0,3.09,CA,1709870426
30,constantia,44.1833,28.65,3.38,79,100,5.4,RO,1709870426
31,qaqortoq,60.7167,-46.0333,-5.54,93,100,1.86,GL,1709870426
32,puerto natales,-51.7236,-72.4875,8.77,84,100,1.44,CL,1709870427
33,fale old settlement,-9.3852,-171.2468,29.26,72,8,3.52,TK,1709870427
34,souillac,-20.5167,57.5167,25.75,100,75,4.63,MU,1709870427
35,tiksi,71.6872,128.8694,-26.49,99,47,1.67,RU,1709870427
36,taltal,-25.4,-70.4833,20.69,77,4,1.23,CL,1709870427
37,atafu village,-8.5421,-172.5159,29.47,72,8,4.66,TK,1709870428
38,port elizabeth,-33.918,25.5701,16.84,77,0,1.03,ZA,1709870428
39,nuuk,64.1835,-51.7216,-9.66,85,100,8.75,GL,1709870428
40,udachny,66.4167,112.4,-13.08,84,99,2.71,RU,1709870429
41,santana,-0.0583,-51.1817,27.1,89,100,3.6,BR,1709870429
42,longyearbyen,78.2186,15.6401,0.91,86,75,7.2,SJ,1709870429
43,marsh harbour,26.5412,-77.0636,24.0,81,87,2.46,BS,1709870429
44,vanimo,-2.6741,141.3028,25.74,93,100,1.31,PG,1709870430
